Code arrondissement;Nom Commune;nom_arrondissement;atheletic;salle;field;complex;Nombre de logements;Nombre de ménages;Population masculine;Population féminine;population_number;nom_arrond_fr;nom_comm_fr
111111;بلدية تونس;المدينة;2;1;5;2;7451;6241;11160;10307;21467;Medina;Tunis ville
111116;بلدية تونس;التحرير;2;0;4;0;6960;5869;10751;10850;21601;Ettahrir;Tunis ville
111126;بلدية تونس;جبل الجلود;0;0;6;0;6747;5923;11625;12013;23638;Djebel Djelloud;Tunis ville
111125;بلدية تونس;سيدي البشير;3;7;9;2;9207;8249;13689;14060;27749;Sidi El Béchir;Tunis ville
111113;بلدية تونس;باب السويقة;2;2;5;1;9782;8517;14463;14722;29185;Bab Souika;Tunis ville
111123;بلدية تونس;الوردية;0;2;2;0;9390;8560;15728;16419;32147;El Ouardia;Tunis ville
111119;بلدية تونس;السيجومي;0;0;4;0;8764;8817;16960;16892;33852;Sijoumi;Tunis ville
111118;بلدية تونس;حي الخضراء;0;1;5;0;12779;9840;17528;17606;35134;Cite El Khadhra;Tunis ville
111112;بلدية تونس;باب البحر;7;5;31;2;14970;11821;19228;16982;36210;Bab El Bhar;Tunis ville
111120;بلدية تونس;الزهور;5;2;16;3;12208;11148;20035;20693;40728;Ezzouhour;Tunis ville
111117;بلدية تونس;المنزه;5;2;10;0;15665;12567;20297;21613;41910;El Menzah;Tunis ville
111114;بلدية تونس;العمران;5;1;19;2;13049;11483;20776;21432;42208;El Omrane;Tunis ville
111115;بلدية تونس;العمران الاعلى;0;0;5;0;17715;15070;27767;27746;55513;El Omrane Superieur;Tunis ville
111124;بلدية تونس;الكبارية;1;0;8;0;25164;22222;43559;43760;87319;El Kabaria;Tunis ville
111121;بلدية تونس;الحرايرية;1;0;9;1;32283;28211;55329;54855;110184;Hraïria;Tunis ville
